year,id,PAR
2005,19075,3.452839107
2005,19077,1.619367967
2005,19079,0.074907476
2005,19081,7.651159606
2005,19083,9.31E-16
2005,19085,2.525957911
2005,19087,9.31E-16
2005,19089,0.04894448
2005,19091,0.023201621
2005,19093,1.692657747
2005,19095,1.144978303
2005,19097,2.420644671
2005,19099,5.666510552
2005,19101,4.916711004
2005,19103,1.059184925
2005,19105,8.313944082
2005,19107,7.424774865
2005,19109,4.739889937
2005,19111,4.75082531
2005,19113,7.499949209
2005,19115,2.887955562
2005,19117,4.392053044
2005,19119,7.177784987
2005,19121,0.324092578
2005,19123,7.662141103
2005,19125,0.859987039
2005,19127,2.264410249
2005,19129,9.31E-16
2005,19131,1.579254645
2005,19133,4.305926704
2005,19135,9.31E-16
2005,19137,6.053296901
2005,19139,9.31E-16
2005,19141,7.309798606
2005,19143,6.054213731
2005,19145,2.53515193
2005,19147,1.138632456
2005,19149,0.456110952
2005,19151,8.268466383
2005,19153,4.390898574
2005,19155,7.293580888
2005,19157,3.19624002
2005,19159,6.957315687
2005,19161,8.681542544
2005,19163,2.395855933
2005,19165,7.983837844
2005,19167,0.001449877
2005,19169,0.781399397
2005,19171,1.672518097
2005,19173,5.763719427
2005,19175,4.126694721
2005,19177,2.178932827
2005,19179,2.337280631
2005,19181,1.047695811
2005,19183,1.88915641
2005,19185,2.850609416
2005,19187,2.982097574
2005,19189,3.594629454
2005,19191,7.139904251
2005,19193,5.319852126
2005,19195,0.137322187
2005,19197,5.508515335
2005,27025,7.530084959
2005,27027,3.612814586
2005,27037,1.850756122
2005,27049,6.873712988
2005,27055,5.081897662
2005,27069,0.484158842
2005,27075,6.507953167
2005,27089,2.506366595
2005,27107,6.428885252
2005,27115,7.088886564
2005,27119,0.004124386
2005,27155,2.69324518
2005,27157,7.408016275
2005,27163,1.766420639
2005,27167,4.903965211
2005,27169,5.471952796
2005,31001,7.225983873
2005,31003,4.122822315
2005,31005,0.828693906
2005,31007,8.693316338
2005,31009,0.393243017
2005,31011,4.710700809
2005,31013,1.651194847
2005,31015,1.494167955
2005,31017,0.002673575
2005,31019,2.862226393
2005,31021,9.31E-16
2005,31023,3.476409612
2005,31025,0.448425302
2005,31027,9.31E-16
2005,31029,0.697447264
2005,31031,3.756571938
2005,31033,1.784051304
2005,31035,0.089618329
2005,31037,4.432954458
2005,31039,1.383445167
2005,31041,5.650512113
2005,31043,2.395881383
2005,31045,5.39065261
2005,31047,2.114699907
2005,31049,4.564665311
2005,31051,6.273876639
2005,31053,7.76615098
2005,31055,1.873790312
2005,31057,9.31E-16
2005,31059,0.231641406
2005,31061,0.626831077
2005,31063,0.256352069
2005,31065,7.924634712
2005,31067,3.848561553
2005,31069,1.02351777
2005,31071,2.875238349
2005,31073,0.001635998
2005,31075,5.651038867
2005,31077,9.31E-16
2005,31079,6.48133179
2005,31081,4.260931088
2005,31083,1.650908388
2005,31085,9.31E-16
2005,31087,3.31978083
2005,31089,2.219899191
2005,31091,7.173317255
2005,31093,6.112078156
2005,31095,4.120227841
2005,31097,0.031989092
2005,31099,0.557765713
2005,31101,3.602557049
2005,31103,3.517671472
2005,31105,0.0632302
2005,31107,1.088488152
2005,31109,2.779669271
2005,31111,0.358933294
2005,31113,9.31E-16
2005,31115,0.137620653
2005,31117,0.169624859
2005,31119,6.672349019
2005,31121,0.001096059
2005,31123,6.252028668
2005,31125,3.502312344
2005,31127,3.044105532
2005,31129,1.483816518
2005,31131,4.655283226
2005,31133,1.115547303
2005,31135,0.875385054
2005,31137,6.555757129
2005,31139,2.692559563
2005,31141,0.002274328
2005,31143,0.138507069
2005,31145,2.732025611
2005,31147,0.007979079
2005,31149,4.156231881
2005,31151,0.368219793
2005,31153,0.290079151
2005,31155,4.58694173
2005,31157,9.31E-16
2005,31159,1.955921594
2005,31161,2.067759513
2005,31163,1.54233209
2005,31165,4.316845479
