year,id,PAR
2013,17001,0.661733362
2013,17003,0.332439565
2013,17005,0.079322132
2013,17007,0.453733499
2013,17009,0.1
2013,17011,4.144036114
2013,17013,3.367080336
2013,17015,0.1
2013,17017,3.381521026
2013,17019,0.174043469
2013,17021,1.071760445
2013,17023,0.209574479
2013,17025,0.1
2013,17027,0.047524071
2013,17029,6.63696112
2013,17031,3.511222528
2013,17033,0.021557911
2013,17035,2.774542922
2013,17037,2.562194713
2013,17039,3.032772234
2013,17041,2.76756458
2013,17043,4.244684234
2013,17045,0.112683538
2013,17047,8.380010665
2013,17049,2.526097716
2013,17051,3.565743275
2013,17053,0.061412428
2013,17055,0.280757424
2013,17057,2.352052281
2013,17059,5.658039537
2013,17061,6.441933463
2013,17063,0.037519214
2013,17065,0.012937826
2013,17067,2.887770849
2013,17069,3.77396882
2013,17071,4.173105644
2013,17073,0.562446397
2013,17075,4.54501094
2013,17077,0.1
2013,17079,2.503656656
2013,17081,4.871073517
2013,17083,1.447081307
2013,17085,0.027156656
2013,17087,4.233463706
2013,17089,0.1
2013,17091,4.442965677
2013,17093,2.529130551
2013,17095,3.129983296
2013,17097,2.733546723
2013,17099,6.688993394
2013,17101,5.799632106
2013,17103,7.77605097
2013,17105,4.326513038
2013,17107,2.448975534
2013,17109,4.038711896
2013,17111,2.177422026
2013,17113,3.001016577
2013,17115,0.05575804
2013,17117,0.073129305
2013,17119,0.124246523
2013,17121,6.814312743
2013,17123,3.668000278
2013,17125,7.628863607
2013,17127,6.625047007
2013,17129,5.022330776
2013,17131,1.363251048
2013,17133,5.311589076
2013,17135,0.541110053
2013,17137,2.961377422
2013,17139,0.16329136
2013,17141,4.863621052
2013,17143,1.971961339
2013,17145,0.1
2013,17147,0.893592874
2013,17149,3.734081271
2013,17151,0.445335293
2013,17153,3.52599772
2013,17155,0.653645838
2013,17157,0.035655517
2013,17159,6.535532536
2013,17161,0.099866023
2013,17163,0.396939857
2013,17165,3.534388317
2013,17167,0.874257462
2013,17169,2.745732804
2013,17171,5.667456574
2013,17173,0.812293953
2013,17175,2.10155867
2013,17177,0.1
2013,17179,0.1
2013,17181,8.262046099
2013,17183,0.663362818
2013,17185,4.429404213
2013,17187,2.018402747
2013,17189,0.604665142
2013,17191,0.613693521
2013,17193,6.489853678
2013,17195,0.994097254
2013,17197,3.823259292
2013,17199,6.71386304
2013,17201,0.1
2013,17203,0.026164259
2013,18001,5.929885427
2013,18003,3.275380596
2013,18005,3.116668706
2013,18007,2.266462369
